Date,Loop,Whitesheet Filename,Whitesheet Entry Number,Time,GPS x,GPS y,Distance,Direction,Corrected GPS x,Corrected GPS y,Latitude,Longitude,Species,Multispecies,Sun,Wind,Rain,Other species,Activity,Grass height,Grass color,Grass spp 1,Grass spp 2,Grass spp 3,Grass spp 4,Bush type,Photos begin,Photos end,Total zebras,Male (T),Male (B),Female (NL),Female (L),Female (P),2 year old,1 year old,6-12 months old,3-6 months old,1-3 months old,0-1 months old,Notes,,
6/3/21,2,DSCN2513,1,1020,261614,52138,28,20,261623.5766,52164.31139,0.468911959,36.85907079,PZ,0,FS,LW,NR,None,St,hock,GB,Cp,Cn,Pm,Ent,LB,1454,1477,12,1,,,,,,1,,,,,,,
6/3/21,2,DSCN2513,2,1025,261647,52344,41,50,261678.4078,52370.35429,0.47077494,36.85956264,GZ,0,FS,LW,NR,Elephant,Wa,hock,GB,Cr,Cp,Ent,Cn,LB,1478,1527,14,1,,5,1,,,3,1,2,,,Outside study area,,
6/3/21,2,DSCN2513,3,1046,261668,52508,41,70,261706.5274,52522.02283,0.472146249,36.85981476,PZ,1,FS,LW,,Impala,Gr,hoof,GB,Cn,Dig,Ps,Pm,LB,1528,1566,23,2,,1,4,,,1,1,2,,,,,
6/3/21,2,DSCN2513,3,1046,261668,52508,41,70,261706.5274,52522.02283,0.472146249,36.85981476,GZ,1,FS,LW,,Impala,Gr,hoof,GB,Cn,Dig,Ps,Pm,LB,1567,1566,3,,2,,,,,,,,,,,,
6/3/21,2,DSCN2514,1,1055,261699,52986,42,36,261723.687,53019.97871,0.476648303,36.85996747,PZ,1,FS,LW,NR,Impala,Gr,hock,GB,Cp,Pm,Ps,Ent,LB,1567,1602,10,1,,2,3,,,1,1,1,1,,,,
6/3/21,2,DSCN2514,1,1055,261699,52986,42,36,261723.687,53019.97871,0.476648303,36.85996747,GZ,1,FS,LW,NR,Impala,Gr,hock,GB,Cp,Pm,Ps,Ent,LB,1567,1602,7,1,,1,1,,11,1,1,,,,,,
6/3/21,2,DSCN2514,2,1103,261866,53215,31,127,261890.7577,53196.34373,0.478243289,36.8614674,PZ,0,FS,LW,NR,Giraffe,Gr,hock,BG,Cn,Cp,Dnt,Ent,LB,1603,1624,12,2,2,,7,,,,1,3,2,,,,
6/3/21,2,DSCN2514,3,1116,261907,52254,60,50,261952.9627,52292.56726,0.470072435,36.86202857,PZ,0,FS,LW,NR,"Eland, Giraffe",Wa,hoof,BG,Cp,Cn,Ps,Pm,OG,1625,1697,33,3,,8,10,1,,1,3,4,3,,"Photos up to 1741, see sheet for additional info",,
6/3/21,2,DSCN2515,1,1126,262005,53318,54,182,262003.1154,53264.0329,0.478855584,36.86247627,GZ,0,FS,LW,NR,None,Gr,hoof,G,Dig,Pm,Ps,Micro,MB,1698,1787,17,1,2,2,4,2,,1,1,2,2,,,,
6/3/21,2,DSCN2515,2,1137,261369,5440,61,210,261338.5,5387.17245,0.04600112,36.85658199,GZ,0,FS,LW,NR,"Eland, Impala",Wa,hoof,BG,Cp,Pm,Cn,Cyperus,LB,1788,1816,5,0,1,,2,,,,,1,1,,,,
6/3/21,2,DSCN2515,3,1148,260682,55802,63,253,260621.7528,55783.58058,0.50163067,36.85006329,GZ,0,FS,LW,NR,Elephant,St,hock,GB,Cp,Pm,Ps,Micro,MB,1817,1820,1,1,,,,,,,,,,,,,
6/3/21,2,DSCN2516,1,1158,259556,55311,68,237,259498.9704,55273.96455,0.497019943,36.83998142,GZ,0,FS,LW,NR,Impala,Gr,hock,GB,Cc,Ent,Cr,Cp,LB,1821,1891,20,1,,10,,4,4,1,,,,,,,
6/3/21,2,DSCN2516,2,1302,260312,53235,41,54,260345.1697,53259.0992,0.47880626,36.84758671,PZ,0,FS,LW,NR,Elephant,Gr,hock,GB,Cn,Pm,Ent,Cp,LB,1892,1959,20,3,1,4,6,3,1,,2,3,,1,,,
6/3/21,2,DSCN2516,3,1314,259999,53460,63,315,259954.4523,53504.54773,0.481024214,36.8440771,PZ,1,FS,LW,NR,Impala,Dr,hoof,GB,Cd,Pm,Ps,Cn,LB,1960,2003,36,,,,,,,,,,,,,,
6/3/21,2,DSCN2516,3,1314,259999,53460,63,315,259954.4523,53504.54773,0.481024214,36.8440771,GZ,1,FS,LW,NR,Impala,Dr,hoof,GB,Cd,Pm,Ps,Cn,LB,1960,2003,8,,8,,,,,,,,,,,,
6/3/21,2,DSCN2517,1,1322,259472,53734,40,290,259434.4123,53747.68081,0.483220847,36.8394061,GZ,0,FS,LW,NR,Giraffe,Gr,belly,GB,Cc,Pm,Cn,Cd,LB,2004,2017,4,,4,,,,,,,,,,,,
6/3/21,2,DSCN2517,2,1328,259166,54040,41,102,259206.1041,54031.47562,0.48578593,36.83735492,GZ,0,FS,LW,NR,None,Gr,belly,GB,Cc,Pm,Ps,Tt,LB,2018,2022,2,,,,1,,,,1,,,,,,
6/3/21,2,DSCN2517,3,1345,260704,55822,24,220,260688.5731,55803.61493,0.501811998,36.85066333,GZ,0,FS,LW,NR,None,Dr,hock,GB,Cp,Cd,Pm,Ps,MB,2023,2044,5,,,3,,1,,1,,,,,,,
6/3/21,2,DSCN2518,1,1404,260531,52797,50,220,260498.8606,52758.69778,0.474282615,36.84896837,GZ,0,FS,LW,NR,None,Wa,hock,G,Cp,Cn,Pm,Ps,LB,2045,2048,6,1,5,,,,,,,,,,,,
6/4/21,1,DSCN2507,1,1025,259425,50344,38,360,259425,50382,0.452792203,36.83933094,PZ,0,FS,LW,NR,Giraffe,Gr,hock,BG,Pm,Cp,Ps,,TB,2053,2071,6,1,,,1,3,,,1,,,,,,
